Pallets;Materials;Quantity
WARD EELEN 950 x 950 aangepast;950 x 98 x 17 ;11
WARD EELEN 950 x 950 aangepast;Balk 950 x 30 x 90;3
ALPHA / ARTIMPEX 820 x 620 HT ISPM 15 ;HT/KD 800 x 98 x 17 ;6
ALPHA / ARTIMPEX 820 x 620 HT ISPM 15 ;balk 620 x 73 x 93;2
Aubvoye 1140 x 1140 HT ISPM 15 (18 hoog);1140 x 98 x 24;18
Aubvoye 1140 x 1140 HT ISPM 15 (18 hoog);balk 1140 x 90 x 74;3
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD Balk met poortjes 1220 x 35 x 95;3
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD 1015 x 75 x 16;8
BARRY CALLEBAUT 1220 x 1015 HT/KD ISPM 15 (22 hoog);HT/KD 1015 x 100 x 16;8
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);balk 1140 x 38 x 90;4
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);HT/KD 1140 x 75 x 17;6
CITRIQUE 1140 x 1140 HT/KD ISPM 15 (Coke);HT/KD 1140 x 98 x 17 ;9
DDB 1485 x 1200 Licht (22 hoog);balk 1200 x 75 x 35;3
DDB 1485 x 1200 Licht (22 hoog);1485 x 95 x 21;3
DDB 1485 x 1200 Licht (22 hoog);1485 x 95 x 17;7
DDB 1485 x 1200 Zwaar (22 hoog);1485 x 95 x 21;12
DDB 1485 x 1200 Zwaar (22 hoog);balk 1200 x 75 x 35;4
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);balk 1145 x 95 x 50;1
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);balk 1145 x 95 x 35 ;2
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);1140 x 133 x 17 ;4
EASTMAN VATEN 1145 x 1145 HT/KD ISPM 15 (21 hoog);1140 x 78 x 17 ;10
Fuchs Oils (81912) 1160 x 1140  (22 Hoog);1160 x 95 x 17;10
Fuchs Oils (81912) 1160 x 1140  (22 Hoog);balk 1140 x 45 x 90;3
GOUDA 1100 x 800 HT ISPM 15 (Genest 42 hoog);Balk 800 x 65 x 95;3
GOUDA 1100 x 800 HT ISPM 15 (Genest 42 hoog);1100 x 98 x 22;6
GOUDA 1100 x 950 HT ISPM 15 (24 hoog);balk 950 x 65 x 95;3
GOUDA 1100 x 950 HT ISPM 15 (24 hoog);PRS4 1100 x 98 x 22 ;6
Gouda 1150 x 1040 HT ISPM 15;balk 1150 x 75 x 95;3
Gouda 1150 x 1040 HT ISPM 15;1040 x 98 x 22;14
Gouda 1250 x 1100 HT Geel;balk 1250 x 75 x 95 GV;3
Gouda 1250 x 1100 HT Geel;1100 x 98 x 20 ;15
GOUDA 1300 x 1120 HT ISPM 15;1120 x 100 x 22;15
GOUDA 1300 x 1120 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1150 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1150 HT ISPM 15;1150 x 95 x 21;15
GOUDA 1300 x 1170 HT ISPM 15;balk 1300 x 75 x 95 GV;3
GOUDA 1300 x 1170 HT ISPM 15;1170 x 98 x 21;15
GOUDA 1300 x 1370 HT ISPM 15;1370 x 98 x 21;15
GOUDA 1300 x 1370 HT ISPM 15;balk 1300 x 75 x 95 GV;3
Gouda 1300 x 550 22 hoog;1300 x 135 x 20;4
Gouda 1300 x 550 22 hoog;balk 550 x 70 x 90;3
Gouda 1300 x 550 I (72 hoog);Gouda 1300 x 550 23 hoog I;1
GOUDA 1400 x 920 HT ISPM 15;920 x 98 x 21;16
GOUDA 1400 x 920 HT ISPM 15;balk 1400 x 70 x 95;3
